token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
spine is lettered	spine is lettered	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
velvet and linen	velvet and linen	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
paper pasted on front cover with etching and lettering	paper pasted on front cover with etching and lettering	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Cedar with traces of polychromy	cedar with traces of polychromy	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black and white chalks on paper mounted on heavy dark cream paper	black and white chalks on paper mounted on heavy dark cream paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
stainless steel mesh	stainless steel mesh	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Steel	""	keyword
sumi ink and acrylic paint on paper	sumi ink and acrylic paint on paper	1	""	Drawing	Ink	Other ink	""	keyword
beanwood and paint	beanwood and paint	1	""	Painting	Other paint	Other paint	""	keyword
with silk weft and metal foil supplementary	with silk weft and metal foil supplementary	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
black chalk under pastels on gray paper affixed to cardboard mount.	black chalk under pastels on gray paper affixed to cardboard mount.	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
Book with 47 color woodcuts on cream laid paper	book with 47 color woodcuts on cream laid paper	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
inkjet print with lithography on Gampi paper	inkjet print with lithography on gampi paper	1	""	Photograph	Digital / inkjet print	Inkjet / pigment print	""	keyword
relief roll	relief roll	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
ink andchalk	ink andchalk	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
color photoetching and colored pencil on Don Farnsworth paper	color photoetching and colored pencil on don farnsworth paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
brown print silk chiffon  w	brown print silk chiffon  w	1	""	Print	Other print process	Other print process	""	keyword
color lithograph poster printed in red and black	color lithograph poster printed in red and black	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
painted gourd	painted gourd	1	""	Painting	Other paint	Other paint	""	keyword
6 etchings and engravings on japon ancien	6 etchings and engravings on japon ancien	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
suite of 11 woodcuts in red ink	suite of 11 woodcuts in red ink	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
and glass rhinestones in	and glass rhinestones in	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
stitch-resist dyed	stitch-resist dyed	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
lawn with embroidery and lace	lawn with embroidery and lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
satin lampas (shuchin)	satin lampas (shuchin)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Soap ground aquatint with burinishing	soap ground aquatint with burinishing	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
printed on gauze and paper in black	printed on gauze and paper in black	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Etching on paper (watermark: Triple Crescent)	etching on paper (watermark: triple crescent)	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Oil on pressed wood	oil on pressed wood	1	""	Painting	Oil	Oil on panel	""	keyword
Orange wool	orange wool	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
metal yarn	metal yarn	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
metal and optical glass	metal and optical glass	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
embossed paper with acrylic paint	embossed paper with acrylic paint	1	""	Painting	Acrylic	Acrylic	""	keyword
gouache over pencil on grey wove paper	gouache over pencil on grey wove paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
black wood case in shape of a house attached to wood stand	black wood case in shape of a house attached to wood stand	1	""	Decorative & other materials	Wood	Wood	""	keyword
brass)	brass)	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Brass	""	keyword
white metal alloy grommets	white metal alloy grommets	1	""	Decorative & other materials	Other material	Other material	""	keyword
black and orange ink on paper	black and orange ink on paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
silk (brocade?)	silk (brocade?)	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
metallic lace (edging)	metallic lace (edging)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
photographs and ephemers	photographs and ephemers	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Pale green silk	pale green silk	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
pen and brown ink and wash over red chalk	pen and brown ink and wash over red chalk	1	""	Drawing	Ink	Other ink	""	keyword
Color spit-bite aquatint and soap-ground aquatint	color spit-bite aquatint and soap-ground aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
rust cotton	rust cotton	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
and chine collé printed in black and yellow	and chine collé printed in black and yellow	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
watercolor and marble dust on paper	watercolor and marble dust on paper	1	""	Painting	Watercolor	Watercolor	""	keyword
embroidery (satin stitch and Peking knot)	embroidery (satin stitch and peking knot)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
black and white charcoal and chalk on paper	black and white charcoal and chalk on paper	1	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
metallic fringe & brocade	metallic fringe & brocade	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Charred wood and cast resin	charred wood and cast resin	1	""	Sculpture	Wood	Wood	""	keyword
gold and silver glass	gold and silver glass	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
tatting	tatting	1	technique	Other / unclassified	Other / unclassified	Tatting	300053641	other
(unbound)	(unbound)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
six-color linoleum cut on Japanese Hodemura paper	six-color linoleum cut on japanese hodemura paper	1	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
14K gold and enamel	14k gold and enamel	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
Metzinger	metzinger	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
embroidered silk grosgrain and silk fringe	embroidered silk grosgrain and silk fringe	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
metal coil	metal coil	1	""	Decorative & other materials	Other material	Other material	""	keyword
yellow pencil on paper	yellow pencil on paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
Argentan bobbin lace	argentan bobbin lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
pigment on silk or paper	pigment on silk or paper	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Loose as issued in wrappers printed on front	loose as issued in wrappers printed on front	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
chicken feathers	chicken feathers	1	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
proof before letters	proof before letters	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
figured tulle and irredescent sequins and white bugle beads	figured tulle and irredescent sequins and white bugle beads	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
White linen with eyelet embroidery and whitework	white linen with eyelet embroidery and whitework	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
Brush and watercolor on laid paper	brush and watercolor on laid paper	1	""	Painting	Watercolor	Watercolor	""	keyword
pastel on cream laid paper on canvas	pastel on cream laid paper on canvas	1	""	Drawing	Pencil, chalk & crayon	Pastel	""	keyword
Spit bite aquatint printed blue-green	spit bite aquatint printed blue-green	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Copper silk plush	copper silk plush	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Crayon and brush lithograph printed in olive-green	crayon and brush lithograph printed in olive-green	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Etching and drypoint with type on verso	etching and drypoint with type on verso	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
off-white	off-white	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
transparent watercolor and colored pencil on paper	transparent watercolor and colored pencil on paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
"""blonde"" lace"	"""blonde"" lace"	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
plain weave with discontinuous supplementary weft-wrapping	plain weave with discontinuous supplementary weft-wrapping	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Burano needlepoint lace	burano needlepoint lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Color photogravure with soft ground etching printed on gampi paper chine collé	color photogravure with soft ground etching printed on gampi paper chine collé	1	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
Venetian flat needlepoint lace( punto in aria)	venetian flat needlepoint lace( punto in aria)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
seaweed	seaweed	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
bound	bound	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
lace (Brussels bobbin on needle reseau)	lace (brussels bobbin on needle reseau)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
worsted embroidery on linen	worsted embroidery on linen	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
woodcut with watercolor additions by artist	woodcut with watercolor additions by artist	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Color chiaroscuro woodcut printed in black	color chiaroscuro woodcut printed in black	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
and painted wood sticks and guards	and painted wood sticks and guards	1	""	Painting	Other paint	Other paint	""	keyword
Virginia walnut	virginia walnut	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
metal-wrapped silk filet lace	metal-wrapped silk filet lace	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
guard	guard	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black ink on yellow paper	black ink on yellow paper	1	""	Drawing	Ink	Black ink	""	keyword
painted linen	painted linen	1	""	Painting	Other paint	Other paint	""	keyword
and 1 etching)	and 1 etching)	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Off white silk linen	off white silk linen	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
stained with persimmon juice	stained with persimmon juice	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
smoked glass	smoked glass	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
rose	rose	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
book with  61 lithographs	book with  61 lithographs	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Brussels Rose Point lace	brussels rose point lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
White ceramic (shell?)	white ceramic (shell?)	1	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
silk and metal lampas	silk and metal lampas	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
14 with reproduction of drawing printed from polymer plates on shiny black paperr	14 with reproduction of drawing printed from polymer plates on shiny black paperr	1	""	Drawing	Other drawing media	Other drawing media	""	keyword
Color etching with drypoint and aquatint on Stonehenge cream paper	color etching with drypoint and aquatint on stonehenge cream paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
two tones brown ink and watercolor wash over grpahite	two tones brown ink and watercolor wash over grpahite	1	""	Drawing	Ink	Other ink	""	keyword
Pen and brown ink and gray wash with black chalk	pen and brown ink and gray wash with black chalk	1	""	Drawing	Ink	Other ink	""	keyword
including etching	including etching	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Book with 63 etchings and  aquatintson Somerset paper	book with 63 etchings and  aquatintson somerset paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
monotype screenprint with acrylic and oil additions	monotype screenprint with acrylic and oil additions	1	""	Print	Lithographs (planographic)	Monotype / monoprint	""	keyword
pen brown and brown-grey ink	pen brown and brown-grey ink	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
satin and georgette	satin and georgette	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
natural brown	natural brown	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
slip case covered in light grey	slip case covered in light grey	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Silk and metal thread plain weave with	silk and metal thread plain weave with	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
linen and cotton	linen and cotton	1	""	Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	""	keyword
calendered silk twill weave bow	calendered silk twill weave bow	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
coton	coton	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
drawn thread lace	drawn thread lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Oil on wood panel later mounted on hardboard	oil on wood panel later mounted on hardboard	1	""	Painting	Oil	Oil on panel	""	keyword
brush and black and red inks	brush and black and red inks	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
ash and aluminum	ash and aluminum	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
weft-resist dyring (ikat)	weft-resist dyring (ikat)	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Synthetic knit in blue	synthetic knit in blue	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
jersey knit	jersey knit	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
transparent and opaque watercolor and wash on wove paper mounted on a heavier sheet	transparent and opaque watercolor and wash on wove paper mounted on a heavier sheet	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
Sketchbook with pen and black	sketchbook with pen and black	1	""	Drawing	Ink	Other ink	""	keyword
frosted glass	frosted glass	1	material	Ceramic & glass	Glass	Glass (unspecified)	300419487	keyword
Color soap ground aquatint and spit bite aquatint	color soap ground aquatint and spit bite aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
embroidery (couching)	embroidery (couching)	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
pochoir printed in black felt-tip pen on coated paper	pochoir printed in black felt-tip pen on coated paper	1	""	Print	Screenprints & stencils	Pochoir	""	keyword
watercolor and metalic paint	watercolor and metalic paint	1	""	Painting	Watercolor	Watercolor	""	keyword
ink and blue pencil on paper	ink and blue pencil on paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
and kingwood	and kingwood	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
on thin cream wove paper	on thin cream wove paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Acrylic and charcoal on two sheets of joined paper	acrylic and charcoal on two sheets of joined paper	1	""	Drawing	Pencil, chalk & crayon	Charcoal	""	keyword
weft-resist dyeing ( ikat)	weft-resist dyeing ( ikat)	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Dogon	dogon	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
graphite under pen and brown ink (iron gall?) with brown washes on cream antique laid paper	graphite under pen and brown ink (iron gall?) with brown washes on cream antique laid paper	1	""	Drawing	Ink	Other ink	""	keyword
and acrylic on rag paper	and acrylic on rag paper	1	""	Painting	Acrylic	Acrylic	""	keyword
unique color aquatint	unique color aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
stones and lenses in a metal can	stones and lenses in a metal can	1	""	Decorative & other materials	Other material	Other material	""	keyword
Box: ink on cardboard	box: ink on cardboard	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
"embossed on front free endpaper ""LIBRARY OF ALDIS J. BROWNE"	"embossed on front free endpaper ""library of aldis j. browne"	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color etching-aquatint	color etching-aquatint	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
changeable taffeta	changeable taffeta	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and other media	and other media	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Earthenware decorated with slip	earthenware decorated with slip	1	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
gold decorations and lettering on the spine	gold decorations and lettering on the spine	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
handspun wool	handspun wool	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
jacket of japan paper with engraving printed on cover	jacket of japan paper with engraving printed on cover	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
ink and acrylic paint (?)	ink and acrylic paint (?)	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
"spine stamped: ""Diebenkorn Etchings Drypoints"""	"spine stamped: ""diebenkorn etchings drypoints"""	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
lace (Chantilly )	lace (chantilly )	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
traces of graphite under sanguine on cream wove paper	traces of graphite under sanguine on cream wove paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
wood engravingss	wood engravingss	1	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
and drypoint printed on gampi paper chine collé	and drypoint printed on gampi paper chine collé	1	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
Book containing reproductions of 84 drawings and 16 watercolors. Edition C	book containing reproductions of 84 drawings and 16 watercolors. edition c	1	""	Drawing	Other drawing media	Other drawing media	""	keyword
glass(?) beads	glass(?) beads	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
Etching with drypoint on green laid paper	etching with drypoint on green laid paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
black porous-point pen	black porous-point pen	1	""	Drawing	Ink	Other ink	""	keyword
soft ground etching on thin Japanese paper	soft ground etching on thin japanese paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Color soap ground aquatint and drypoint on Somerset White paper	color soap ground aquatint and drypoint on somerset white paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
book with 10 double page phomechanical reproductions of photographs	book with 10 double page phomechanical reproductions of photographs	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
knitting stitch	knitting stitch	1	""	Textile	Textile technique (weaving, embroidery)	Knitting / crochet	""	keyword
transparent and opaque watercolor on yellow-tan wove apaper	transparent and opaque watercolor on yellow-tan wove apaper	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
sandblasted incised glazed stoneware	sandblasted incised glazed stoneware	1	""	Ceramic & glass	Earthenware & stoneware	Stoneware	""	keyword
Black silk bobbin lace	black silk bobbin lace	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Soft ground etching printed in light orange with gold leaf border	soft ground etching printed in light orange with gold leaf border	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
ink on orange construction paper	ink on orange construction paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
book with 20 color  lithographs	book with 20 color  lithographs	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
graphite and brown-black wash	graphite and brown-black wash	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
lambswool plain weave	lambswool plain weave	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Book in accordion binding with digital prints and five paper airplanes	book in accordion binding with digital prints and five paper airplanes	1	""	Photograph	Digital / inkjet print	Digital (unspecified)	""	keyword
balanced plain weave lining	balanced plain weave lining	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Etchings on Auvergne laid paper (watermarked with a weather vain showing a rooste	etchings on auvergne laid paper (watermarked with a weather vain showing a rooste	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
braided and knotted	braided and knotted	1	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
reclaimed objects on canvas mounted on plywood	reclaimed objects on canvas mounted on plywood	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black ballpoint pen	black ballpoint pen	1	""	Drawing	Ink	Other ink	""	keyword
beads and glass stones	beads and glass stones	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
and burnishing over heliogravure	and burnishing over heliogravure	1	""	Print	Other print process	Other print process	""	keyword
Conus	conus	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
linoleum cut printed in brown	linoleum cut printed in brown	1	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
Helen Phillips	helen phillips	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Book with 5 etchings and 10 etched initials on Auvergne laid paper (watermarked with a weather vain showing a rooster ontop of a fish)	book with 5 etchings and 10 etched initials on auvergne laid paper (watermarked with a weather vain showing a rooster ontop of a fish)	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
ostrich shell beads	ostrich shell beads	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	""	keyword
gold piping	gold piping	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
discontinuous supplementary weft wrapping	discontinuous supplementary weft wrapping	1	""	Textile	Other textile	Other textile	""	keyword
color crayon and opaque watercolor	color crayon and opaque watercolor	1	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
Woodcut in black ink	woodcut in black ink	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
woodcut with  watercolor addit by artist	woodcut with  watercolor addit by artist	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Spit bite aquatint  printed in red and graphite additions by the artist	spit bite aquatint  printed in red and graphite additions by the artist	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
double weave cotton	double weave cotton	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
raw silk voile	raw silk voile	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
etching on blue chine colle	etching on blue chine colle	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
etching on Murillo paper	etching on murillo paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
and chintz	and chintz	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Book with 12 woodcuts	book with 12 woodcuts	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
boucle fabric	boucle fabric	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
encroaching satin	encroaching satin	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
woven in strips sewn together (strip-weaving)	woven in strips sewn together (strip-weaving)	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Drypoint (on loose china)	drypoint (on loose china)	1	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
embroidery and spangles	embroidery and spangles	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
Earthenware and post-fire pigment	earthenware and post-fire pigment	1	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
Color screenprint on Cartridge paper	color screenprint on cartridge paper	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Drypoint with spit bite aquatint printed in brown	drypoint with spit bite aquatint printed in brown	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
fiber and wood	fiber and wood	1	""	Textile	Other textile	Other textile	""	keyword
Color woodcut with graphite additions by the artist	color woodcut with graphite additions by the artist	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Photopolymer plates for illustrations.  Legion Letterpress paper.  Types: American Garamond and Garamond Bold.	photopolymer plates for illustrations.  legion letterpress paper.  types: american garamond and garamond bold.	1	""	Print	Relief prints (woodcut, linocut)	Letterpress & line block	""	keyword
knotted pile (symmetric knot	knotted pile (symmetric knot	1	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
black and grey wash	black and grey wash	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Worn by Christine Suppes (American	worn by christine suppes (american	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
signed 'Cagli' (lower right)	signed 'cagli' (lower right)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
enamelled bronze with ribbon	enamelled bronze with ribbon	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
wood and baleen	wood and baleen	1	""	Decorative & other materials	Wood	Wood	""	keyword
Pen and brown ink and watercolor over graphite on J. Whatman wove paper	pen and brown ink and watercolor over graphite on j. whatman wove paper	1	""	Drawing	Ink	Other ink	""	keyword
Embossed collage intaglio	embossed collage intaglio	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
and ink wash on wove paper	and ink wash on wove paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
opaque watercolor and gilding	opaque watercolor and gilding	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
engraved lead glass	engraved lead glass	1	""	Ceramic & glass	Glass	Lead / crystal glass	""	keyword
book with 165 pages of etchings plus an engraved frontispiece portrait	book with 165 pages of etchings plus an engraved frontispiece portrait	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
accordion book with double-sided watercolor and wood cover	accordion book with double-sided watercolor and wood cover	1	""	Painting	Watercolor	Watercolor	""	keyword
discharged cut and voided silk velvet	discharged cut and voided silk velvet	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
and green crayon smudges	and green crayon smudges	1	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
protective boards are covered with cream paper and are printed front and back with a colored design	protective boards are covered with cream paper and are printed front and back with a colored design	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
handpainted and metallic jerseys	handpainted and metallic jerseys	1	""	Painting	Other paint	Other paint	""	keyword
book with 12 chromolithographs	book with 12 chromolithographs	1	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
Pen and brown ink and brown ink wash on laid paper mounted to a heavier sheet	pen and brown ink and brown ink wash on laid paper mounted to a heavier sheet	1	""	Drawing	Ink	Other ink	""	keyword
screenprint transfers and collage on silk chiffon and silk taffeta	screenprint transfers and collage on silk chiffon and silk taffeta	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Etching on zinc	etching on zinc	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
gelatin silver print on Arista fiber semi-matte paper	gelatin silver print on arista fiber semi-matte paper	1	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Artist book with sixteen prints of etching	artist book with sixteen prints of etching	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Etching (Japan paper)	etching (japan paper)	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Etching and aquatint printed in dark brown ink	etching and aquatint printed in dark brown ink	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Photoetching of original drawing	photoetching of original drawing	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Soft ground etching with graphite additions by the artist	soft ground etching with graphite additions by the artist	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
commercial tradecloth	commercial tradecloth	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black monkey fur	black monkey fur	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
some double-sided	some double-sided	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color screenprint billboard with daylight flourescent inks	color screenprint billboard with daylight flourescent inks	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
etching mezzotint	etching mezzotint	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
