token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
silk taffeta and linen	silk taffeta and linen	3	""	Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	""	keyword
cast clay	cast clay	3	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
on cream laid paper prepared with gray-green gouache ground	on cream laid paper prepared with gray-green gouache ground	3	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
weft- float patterning	weft- float patterning	3	""	Textile	Other textile	Other textile	""	keyword
trimmed with velvet	trimmed with velvet	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
walrus hide	walrus hide	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
etching with woodcut printed from two blocks in shades of grey	etching with woodcut printed from two blocks in shades of grey	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Pen and ink sketch	pen and ink sketch	3	""	Drawing	Ink	Ink (unspecified)	""	keyword
in brown ink	in brown ink	3	""	Drawing	Ink	Brown ink	""	keyword
plain weave with discontinuous weft brocading (inlay)	plain weave with discontinuous weft brocading (inlay)	3	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Lithograph (on Japan paper)	lithograph (on japan paper)	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
three color lithograph on Rives BFK paper	three color lithograph on rives bfk paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
over red chalk	over red chalk	3	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
black and brown pencil on paper	black and brown pencil on paper	3	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
woodcut on paper	woodcut on paper	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
etching on larger folded sheet	etching on larger folded sheet	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
crayon and graphite	crayon and graphite	3	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
wool tweed	wool tweed	3	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
pandanus leaves	pandanus leaves	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Lithograph on newsprint text verso	lithograph on newsprint text verso	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
satin weave with supplementary weft threads	satin weave with supplementary weft threads	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Synthetic lace	synthetic lace	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
hematite?	hematite?	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
gold trim	gold trim	3	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
solt-paste porcelain	solt-paste porcelain	3	""	Ceramic & glass	Porcelain	Porcelain (unspecified)	""	keyword
taffeta lining	taffeta lining	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
glazed	glazed	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
synthetic lining	synthetic lining	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
