token	section	subcategory	specific	suppress
and imitation pearls	Other	""	""	false
and impressions of inked objects	Other	""	""	false
and incised and gilded wood guards	Organic	Wood + plant	Gilded wood	false
and incised mother-of-pearl sticks and guards	Organic	Shell + pearl	Mother-of-pearl stick	false
and incised tortoiseshell sticks and guards	Ink + drawing	Incising	""	false
and incised wood sticks and guards	Organic	Wood + plant	Wood	false
and ink	Ink + drawing	Ink	""	false
and ink and brush on paper	Ink + drawing	Ink	""	false
and ink on ledger paper	Ink + drawing	Ink	""	false
and ink on paper	Ink + drawing	Ink	""	false
and ink wash on wove paper	Ink + drawing	Ink	""	false
and ink with abstract cut-outs	Ink + drawing	Ink	""	false
and interlaced stitches)	Other	""	""	false
and intestine	Other	""	""	false
and iron	Metal	Iron	""	false
and iron alloy	Metal	Iron	""	false
and iron nails	Metal	Iron	""	false
and ivory	Organic	Ivory + bone	Ivory	false
and ivory decorated paper	Paper + parchment	Paper	""	false
and ivory guards	Organic	Ivory + bone	Ivory	false
and ivory or bone	Organic	Ivory + bone	Ivory	false
and ivory satin	Textiles + fiber	Other woven textiles	Satin	false
and ivory sticks	Organic	Ivory + bone	Ivory	false
and ivory?	Organic	Ivory + bone	Ivory	false
and jade(?)	Other	""	""	false
and jet buttons	Stone	Hardstone	Jet	false
and jet trimming	Stone	Hardstone	Jet	false
and kaolin	Other	""	""	false
and karakul embroidery (satin	Textiles + fiber	Embroidery	""	false
and kid leather	Organic	Leather + hide	Kid leather	false
and kidskin	Other	""	""	false
and kingwood	Other	""	""	false
and knot stitches)	Other	""	""	false
and kutch (india) cotton plain weave with cotton embroidery (cross	Textiles + fiber	Embroidery	""	false
and lace	Textiles + fiber	Lace	""	false
and lace with lace insertions	Textiles + fiber	Lace	""	false
and lacquer	Organic	Wood + plant	Lacquer	false
and lacquered sticks and guards with mother-of-pearl	Organic	Shell + pearl	Mother-of-pearl	false
and laid stitches)	Other	""	""	false
and lapis lazuli on wood	Organic	Wood + plant	Wood	false
and laser cut	Other	""	""	false
and lcds	Other	""	""	false
and lead	Metal	Lead	""	false
and leaf prints (made directly from real leaves with printing ink) on paper	Ink + drawing	Ink	""	false
and leather	Organic	Leather + hide	Leather	false
and leather appliques	Organic	Leather + hide	Leather	false
and leather case	Organic	Leather + hide	Leather	false
and led lighting	Other	""	""	false
and lettering on the spine	Other	""	""	false
and letterpress	Prints	Letterpress	""	false
and letterpress (text) on paper	Prints	Letterpress	""	false
and letterpresson white wove j.b. green paper	Paper + parchment	Paper	""	false
and light sensor	Other	""	""	false
and lights	Other	""	""	false
and lime	Other	""	""	false
and lime pigment	Paint + pigment	Pigment	""	false
and lime plaster	Stone	""	Plaster	false
and line-cut	Other	""	""	false
and linen	Textiles + fiber	Other woven textiles	Linen	false
and linen lining	Textiles + fiber	Other woven textiles	Linen	false
and linoleum block with hand-coloring	Ink + drawing	Hand colouring	""	false
and lithographed title	Prints	Lithograph	""	false
and lithographs on 36 sheets in gilt-tooled morocco leather portfolio	Prints	Lithograph	""	false
and lithography inks	Prints	Lithograph	""	false
and long-armed cross stitches)	Other	""	""	false
and low-fire clays	Other	""	""	false
and lucite beads	Other	""	""	false
and lurex cloqué	Other	""	""	false
and lycra blend	Other	""	""	false
and macrame fringe	Textiles + fiber	Trimmings	Fringe	false
and magic marker on paper	Paper + parchment	Paper	""	false
and mahogany	Organic	Wood + plant	Mahogany	false
and maidenhair fern	Other	""	""	false
and maidenhair fern stems	Other	""	""	false
and malachite	Other	""	""	false
and maple	Other	""	""	false
and marabou feathers	Organic	Hair, fur + feather	Feather	false
and marble	Stone	Marble	""	false
and marble top	Stone	Marble	""	false
and mercury-gilded glass	Glass	""	""	false
and metal	Metal	""	""	false
and metal (c) silk tafetta	Textiles + fiber	Silk	""	false
and metal buttons	Metal	""	""	false
and metal buttons.	Metal	""	""	false
and metal cord	Textiles + fiber	Yarn + thread	Cord	false
and metal embroidery (coiled and purled)	Textiles + fiber	Embroidery	""	false
and metal foil lampasette	Metal	""	""	false
and metal foil–wrapped paper tassel	Paper + parchment	Paper	""	false
and metal lace	Textiles + fiber	Lace	""	false
and metal purl embroidery	Textiles + fiber	Embroidery	""	false
and metal ring	Metal	Metal ring	""	false
and metal sequins	Textiles + fiber	Trimmings	Sequin	false
and metal snaps and zippers	Metal	""	""	false
and metal tape	Metal	""	""	false
and metal thread	Textiles + fiber	Yarn + thread	Thread	false
and metal zipper	Metal	""	""	false
and metal zipper blouse: silk charmeuse and mother-of-pearl buttons pants: silk velvet and silk satin weave	Textiles + fiber	Silk	Silk velvet	false
and metal zippers skirt: pieced silk satin weave	Textiles + fiber	Silk	Silk satin	false
and metal-wrapped silk cannelé sash	Textiles + fiber	Silk	""	false
and metal-wrapped silk thread	Textiles + fiber	Yarn + thread	Thread	false
and metal-wrapped silk trim	Textiles + fiber	Silk	""	false
and metal-wrapped wire with glass bugle beads detached sleeves: silk satin weave with aluminum metal thread supplementary weft patterning	Textiles + fiber	Yarn + thread	Thread	false
and metallic fringe	Textiles + fiber	Trimmings	Fringe	false
and metallic net	Textiles + fiber	Other woven textiles	Net	false
and metallic paint	Paint + pigment	Paint	""	false
and metallic paint on white woive paper	Paint + pigment	Paint	""	false
and metallic pigments	Paint + pigment	Pigment	""	false
and metallic pigments on paper	Paint + pigment	Pigment	""	false
and metallic thread	Textiles + fiber	Yarn + thread	Thread	false
and metallic threads	Textiles + fiber	Yarn + thread	Thread	false
and metallic tweed	Other	""	""	false
and mezzotint	Prints	Mezzotint	""	false
and mezzotint on japan paper	Prints	Mezzotint	""	false
and mica (triptych)	Other	""	""	false
and mineral pigments	Paint + pigment	Pigment	""	false
and miniature arms	Other	""	""	false
and mirror glass	Glass	""	""	false
and mirrors	Other	""	""	false
and mixed media including flower petal juice	Other	""	""	false
and mixed media on canvas	Paper + parchment	Paper	Canvas	false
and molded and joined copper metal alloy buttons skirt: wool warp knitting	Textiles + fiber	Other woven textiles	Knitting	false
and molded and painted plastic with rhinestones and plastic pearls	Paint + pigment	Paint	Painted	false
and molded plastic stones	Inorganic	Plastic	""	false
and monitor lizard skin	Other	""	""	false
and monochrome wood engravings	Prints	Wood engraving	""	false
and moss agate	Stone	Hardstone	Agate	false
and mother-of -pearl	Organic	Shell + pearl	Pearl	false
and mother-of-pearl	Organic	Shell + pearl	Mother-of-pearl	false
and mother-of-pearl inlay	Organic	Shell + pearl	Mother-of-pearl	false
and mother-of-pearl rivet	Organic	Shell + pearl	Mother-of-pearl	false
and mouseline de soie	Other	""	""	false
and mull	Other	""	""	false
and museum buttons	Other	""	""	false
and musk ox horn	Organic	Horn, gut + sinew	Horn	false
and muslin	Other	""	""	false
and nails	Other	""	""	false
and nails on plywood	Organic	Wood + plant	Plywood	false
and nails on wood	Organic	Wood + plant	Wood	false
and nails on wood base	Organic	Wood + plant	Wood	false
and nassa shell	Organic	Shell + pearl	Shell	false
and needle lace	Textiles + fiber	Lace	""	false
and net	Textiles + fiber	Other woven textiles	Net	false
and net with embroidery and applique	Textiles + fiber	Embroidery	""	false
and nickel-plated fasteners	Other	""	""	false
and nylon	Textiles + fiber	Other woven textiles	Nylon	false
and nylon horsehair	Textiles + fiber	Other woven textiles	Nylon	false
and offset lithography	Prints	Offset lithograph	""	false
and oil on paper	Paint + pigment	Oil	""	false
and oil paint on tar	Paint + pigment	Oil	""	false
and oil stick	Paint + pigment	Oil	""	false
and oil stick on canvas	Paint + pigment	Oil	""	false
and oil stick on rives paper	Paint + pigment	Oil	""	false
and on slipcase	Other	""	""	false
and one 12 inch vinyl record	Other	""	""	false
and one copperplate	Metal	Copper	""	false
and one unique object	Other	""	""	false
and opaque watercolor	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor additions	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor on brown paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor on gray paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor on paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor over black chalk with traces of graphite on paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor over graphite on green-brown wove paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor over graphite on laid paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque watercolor with gold metallic paint and silver metallic paint on paper	Paint + pigment	Watercolour + wash	Watercolor	false
and opaque white watercolor	Paint + pigment	Watercolour + wash	Watercolor	false
and open buttonhole stitches	Other	""	""	false
and or nué)	Other	""	""	false
and orange	Other	""	""	false
and orange bands of dyed snakeskin	Other	""	""	false
and ormolu	Other	""	""	false
and ostrich feathers	Organic	Hair, fur + feather	Ostrich feather	false
and other beads	Other	""	""	false
and other feathers	Organic	Hair, fur + feather	Feather	false
and other feathers on cotton	Textiles + fiber	Cotton	""	false
and other media	Other	""	""	false
and other stitches)	Other	""	""	false
and other stitches) and applied white metal alloy sequins	Textiles + fiber	Trimmings	Sequin	false
and other stitches) and traces of ink	Ink + drawing	Ink	""	false
and other weave structures	Textiles + fiber	Weaving	""	false
and others fibers	Other	""	""	false
and outline stitches)	Other	""	""	false
and oxides	Other	""	""	false
and padded couching)	Other	""	""	false
and padded lappet synthetic twill weave appliqué with couched metal-wrapped silk embroidery and synthetic metal strip plain weave trim	Textiles + fiber	Embroidery	""	false
and padlock	Other	""	""	false
and paillettes	Other	""	""	false
and paint	Paint + pigment	Paint	""	false
and paint on ivory	Paint + pigment	Paint	""	false
and paint on masonite	Paint + pigment	Paint	""	false
and painted birchbark stick	Paint + pigment	Paint	Painted	false
and painted buttons	Paint + pigment	Paint	Painted	false
and painted imitation pearl	Paint + pigment	Paint	Painted	false
and painted ivory	Paint + pigment	Paint	Painted	false
and painted ivory sticks and guards	Paint + pigment	Paint	Painted	false
and painted mother-of-pearl stick and guards	Paint + pigment	Paint	Painted	false
and painted mother-of-pearl sticks and guards	Paint + pigment	Paint	Painted	false
and painted sticks and guards with mother-of-pearl inlay and applied gilded silver foil	Paint + pigment	Paint	Painted	false
and painted wood	Paint + pigment	Paint	Painted	false
and painted wood buckles	Paint + pigment	Paint	Painted	false
and painted wood sticks and guards	Paint + pigment	Paint	Painted	false
and palm leaf	Other	""	""	false
and palm leaf reed	Other	""	""	false
and paper	Paper + parchment	Paper	""	false
and paper collage	Paper + parchment	Paper	""	false
and passementerie	Other	""	""	false
and paste jewels	Other	""	""	false
and pasted corrections on paper	Paper + parchment	Paper	""	false
and pastel on paper	Ink + drawing	Pastel	""	false
and pastel pencil on paper	Ink + drawing	Pencil + graphite	Pencil	false
and pearl	Organic	Shell + pearl	Pearl	false
and pearl beads	Organic	Shell + pearl	Pearl	false
and pearl buttons	Organic	Shell + pearl	Pearl	false
and pen and black and brown ink on paper	Ink + drawing	Ink	""	false
and pen and black ink	Ink + drawing	Ink	""	false
and pen and black ink on blue paper	Ink + drawing	Ink	""	false
and pen and black ink on green paper (recto)	Ink + drawing	Ink	""	false
and pen and black ink on paper	Ink + drawing	Ink	""	false
and pen and black on green paper	Ink + drawing	Ink	Pen	false
and pen and brown ink on blue paper	Ink + drawing	Ink	""	false
and pen and ink on paper	Ink + drawing	Ink	""	false
and pen and ink on writing paper	Ink + drawing	Ink	""	false
and pencil	Ink + drawing	Pencil + graphite	Pencil	false
and pencil on wood	Ink + drawing	Pencil + graphite	Pencil	false
and photoetching	Prints	Etching	""	false
and photoetching on rives bfk paper	Prints	Etching	""	false
and photoetching on twinrocker gray-green laid paper	Prints	Etching	""	false
and photograph	Prints	Photographic process	Photograph	false
and photographs	Prints	Photographic process	Photograph	false
and photogravure	Prints	Photogravure	""	false
and photogravure with chine collé	Prints	Photogravure	""	false
and photogravure with chine collé etching with photogravure and chine colle	Prints	Photogravure	""	false
and photomechanical tone	Prints	Photomechanical	""	false
and pigment	Paint + pigment	Pigment	""	false
and pigment on canvas	Paint + pigment	Pigment	""	false
and pigments	Paint + pigment	Pigment	""	false
and pine	Other	""	""	false
and pink inks	Other	""	""	false
and pink oil pastel on paper	Ink + drawing	Pastel	""	false
and pins	Other	""	""	false
and piping	Other	""	""	false
and plain stitch)	Other	""	""	false
and plant material	Other	""	""	false
and plastic	Inorganic	Plastic	""	false
and plastic buttons	Inorganic	Plastic	""	false
and plastic buttons pants: metallic printed silk plain weave and silk satin weave ribbon trim pant lining: synthetic plain weave and silk satin weave cuffs with cast copper metal alloy buttons	Textiles + fiber	Silk	Silk satin	false
and plastic composite buttons	Inorganic	Plastic	""	false
and plastic faceted beads	Inorganic	Plastic	""	false
and plastic sequins	Textiles + fiber	Trimmings	Sequin	false
and plate-stencilled color on hand-made paper by barcham green	""	""	""	true
and plate-stencilled colors on hand-made paper by barcham green	""	""	""	true
and plated glass with wood frame	Glass	""	""	false
and plated metal setting buttons	Metal	""	""	false
and pleated synthetic plain weave pin: enameled copper metal alloy	Metal	Copper	""	false
and plumbing parts	Other	""	""	false
and plywood	Organic	Wood + plant	Plywood	false
and pods	Other	""	""	false
and poetry within	Other	""	""	false
and point de gaze linen lace	Textiles + fiber	Lace	Point de gaze	false
and polychromy	Other	""	""	false
and polyester blend boucle	Textiles + fiber	Other woven textiles	Polyester	false
and polyester blend plain weave	Textiles + fiber	Other woven textiles	Polyester	false
and polyester crepe	Textiles + fiber	Other woven textiles	Polyester	false
and polyester metal	Textiles + fiber	Other woven textiles	Polyester	false
and polyester metal on a china plate	Textiles + fiber	Other woven textiles	Polyester	false
and polyester plain weave	Textiles + fiber	Other woven textiles	Polyester	false
and polyurethane enamel	Metal	Enamel	""	false
and polyurethane serge weave with silk satin weave backing	Textiles + fiber	Silk	Silk satin	false
and poplar	Other	""	""	false
and poplar carcase with gilt-bronze mounts	Metal	Bronze	""	false
and porous point pen on polyester sheets	Ink + drawing	Ink	Pen	false
and porphyry	Other	""	""	false
and possibly goat hair	Organic	Hair, fur + feather	Goat hair	false
and powder coated zinc-plated steel chain	Metal	Steel	""	false
and power tool	Other	""	""	false
and power-tool abrasion with hand coloring on fabriano rosaspina off white paper	Ink + drawing	Hand colouring	""	false
and prints from grass or leaves on paper	Paper + parchment	Paper	""	false
and purl	Other	""	""	false
and purple felt tip penverso: graphite	Ink + drawing	Pencil + graphite	Graphite	false
and purple glitter on japanese paper	Paper + parchment	Paper	""	false
and quills	Other	""	""	false
and quilted	Other	""	""	false
and raffia	Textiles + fiber	Fiber	Raffia	false
and raffia (vegetable fiber)	Textiles + fiber	Fiber	Raffia	false
and raised work)	Other	""	""	false
and rattan	Organic	Wood + plant	Rattan	false
and raw silk gauze blouse: raw silk gauze shorts: printed herringbone twill weave and wool warp knitting	Textiles + fiber	Other woven textiles	Knitting	false
and rayon twill ties	Textiles + fiber	Other woven textiles	Rayon	false
and red and white clay pigment	Paint + pigment	Pigment	""	false
and red and white pigment	Paint + pigment	Pigment	""	false
and red beads	Other	""	""	false
and red bud	Other	""	""	false
and red chalk	Ink + drawing	Chalk + crayon	Chalk	false
and red chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
and red chalks on pink paper	Ink + drawing	Chalk + crayon	Chalk	false
and red colored pencil	Ink + drawing	Pencil + graphite	Pencil	false
and red ink	Ink + drawing	Ink	""	false
and red pencil	Ink + drawing	Pencil + graphite	Pencil	false
and reproduction illustrations on arches wove paper	Paper + parchment	Paper	Wove paper	false
and resin	Other	""	""	false
and reverse appliquéd	Other	""	""	false
and rhinestone	Textiles + fiber	Trimmings	Rhinestone	false
and rhinestones	Textiles + fiber	Trimmings	Rhinestone	false
and ribbon	Textiles + fiber	Trimmings	Ribbon	false
and ring	Other	""	""	false
and rock base	Other	""	""	false
and rock crystal	Glass	""	Crystal	false
and rocker	Other	""	""	false
and rope	Other	""	""	false
and rose diamonds	Stone	Gemstone	Diamond	false
and rosewood sticks and guards	Other	""	""	false
and roulette	Prints	Etching	Roulette	false
and roulette on handmade wove paper	Paper + parchment	Paper	Wove paper	false
and roulette with sand-grain etching	Prints	Etching	""	false
and roulette with scraping	Prints	Etching	Roulette	false
and roulette) on arches cover white paper (host) and arches cover buff (chine collé)	Prints	Other technique	Chine collé	false
and rubber	Other	""	""	false
and rubber stamps on paper	Paper + parchment	Paper	""	false
and rubber stamps on passantino brands staff paper	Paper + parchment	Paper	""	false
and rubber stamps on strathmore paper	Paper + parchment	Paper	""	false
and ruby eyes	Other	""	""	false
and sago leaf	Other	""	""	false
and salt-lift ground	Other	""	""	false
and sand on canvas	Paper + parchment	Paper	Canvas	false
and sanding	Other	""	""	false
and sandpaper	Other	""	""	false
and sandpaper (or stippling?)	Other	""	""	false
and sardonyx	Other	""	""	false
and satin	Textiles + fiber	Other woven textiles	Satin	false
and satin lining	Textiles + fiber	Other woven textiles	Satin	false
and satin ribbon	Textiles + fiber	Trimmings	Ribbon	false
and satin stitches)	Textiles + fiber	Other woven textiles	Satin	false
and satin weaves	Textiles + fiber	Other woven textiles	Satin	false
and scorper	Other	""	""	false
and scrape and burnish	Prints	Mezzotint	""	false
and scrape and burnish additions by the artist	Prints	Mezzotint	""	false
and scrapers	Other	""	""	false
and scraping	Prints	Mezzotint	""	false
and scraping and burnishing	Prints	Mezzotint	""	false
and scraping with hard ground etching	Prints	Etching	""	false
and scratching	Other	""	""	false
and scratching on sand coated paper mounted on card	Paper + parchment	Paper	""	false
and scratching out	Other	""	""	false
and screenprint	Prints	Screenprint	""	false
and sea mammal ivory	Organic	Ivory + bone	Ivory	false
and sea mammal sinew	Organic	Horn, gut + sinew	Sinew	false
and sea mammal skin	Other	""	""	false
and sealskin	Other	""	""	false
and seed beads	Other	""	""	false
and seed pearls	Other	""	""	false
and seed stitches)	Other	""	""	false
and seeds	Other	""	""	false
and selective inking	Other	""	""	false
and selectively applied glaze	Other	""	""	false
and semi-precious rock beads	Other	""	""	false
and semi-precious stone beads	Stone	""	""	false
and sequined net with rayon tassels	Textiles + fiber	Trimmings	Sequin	false
and sequins	Textiles + fiber	Trimmings	Sequin	false
and sequins on gauze	Textiles + fiber	Trimmings	Sequin	false
and sequins on silk	Textiles + fiber	Trimmings	Sequin	false
and several sheets are larger than size of bound book and have been folded	Other	""	""	false
and sewing needle	Other	""	""	false
and shell	Organic	Shell + pearl	Shell	false
and shell sequins	Textiles + fiber	Trimmings	Sequin	false
and shells	Other	""	""	false
and silicone	Other	""	""	false
and silk	Textiles + fiber	Silk	""	false
and silk and metal thread tassel	Textiles + fiber	Yarn + thread	Thread	false
and silk bobbin net with metal-wrapped thread embroidery (laid and couched stitches)	Textiles + fiber	Embroidery	""	false
and silk cord	Textiles + fiber	Silk	""	false
and silk embroidery	Textiles + fiber	Embroidery	""	false
and silk fabric	Textiles + fiber	Other woven textiles	Fabric	false
and silk faille	Textiles + fiber	Silk	""	false
and silk floss	Textiles + fiber	Silk	""	false
and silk flowers	Textiles + fiber	Silk	""	false
and silk fringe	Textiles + fiber	Trimmings	Fringe	false
and silk georgette	Textiles + fiber	Silk	""	false
and silk gros de tours	Textiles + fiber	Silk	Silk gros de tour	false
and silk lace	Textiles + fiber	Silk	""	false
and silk lining	Textiles + fiber	Silk	Silk lining	false
and silk net	Textiles + fiber	Silk	Silk net	false
and silk on paper	Textiles + fiber	Silk	""	false
and silk plain weave	Textiles + fiber	Silk	""	false
and silk plain weave with silk embroidery (zigzag stitch)	Textiles + fiber	Embroidery	""	false
and silk ribbon	Textiles + fiber	Trimmings	Ribbon	false
and silk satin	Textiles + fiber	Silk	Silk satin	false
and silk satin weave	Textiles + fiber	Silk	Silk satin	false
and silk satin weave ribbon	Textiles + fiber	Silk	Silk satin	false
and silk satin weave sash with silk and metal-wrapped silk embroidery (satin and stem stitches	Textiles + fiber	Silk	Silk satin	false
and silk taffeta	Textiles + fiber	Silk	Silk taffeta	false
and silk tassel	Textiles + fiber	Trimmings	Silk tassel	false
and silk thread ties and tassels skirt: printed silk chiffon with synthetic metal strip supplementary weft	Textiles + fiber	Silk	Silk chiffon	false
and silk upholstery	Textiles + fiber	Silk	""	false
and silk velvet belt: printed silk satin weave with metal powder pigment	Paint + pigment	Pigment	""	false
and silk velvet ribbon trim	Textiles + fiber	Silk	Silk velvet	false
and silk velvet ribbon trim skirt: silk satin weave with overlay of silk net with gelatin sequins and overlay of handmade silk lace with metal (silver alloy) sequins and glass beads	Textiles + fiber	Trimmings	Bead	false
and silver	Metal	Silver	""	false
and silver and gold paint on paper	Paint + pigment	Paint	""	false
and silver austrian florins	Metal	Silver	""	false
and silver metallic paint over graphite on paper	Paint + pigment	Paint	""	false
and silver paint on laid paper	Paint + pigment	Paint	""	false
and silver thread	Textiles + fiber	Yarn + thread	Thread	false
and silver tinsel	Metal	Silver	""	false
and silver with selective burnishing on paper	Metal	Silver	""	false
and silver-gilt	Metal	Silver	""	false
and silvered finials and feet	Metal	Silver	""	false
and silvered paper weft patterning (nishiki)	Paper + parchment	Paper	""	false
and sinew	Organic	Horn, gut + sinew	Sinew	false
and skin	Other	""	""	false
and slate	Other	""	""	false
and slip-cast porcelain	Ceramic	Porcelain	""	false
and small volume	Other	""	""	false
and smudge of brown pigment	Paint + pigment	Pigment	""	false
and snakeskin	Other	""	""	false
and soap ground aquatint	Prints	Aquatint	""	false
and soap ground aquatint on somerset satin paper	Prints	Aquatint	""	false
and soap ground aquatint printed in black and tan	Prints	Aquatint	""	false
and soap-ground aquatint	Prints	Aquatint	""	false
and soapground aquatint on arches satine heavyweight paper	Prints	Aquatint	""	false
and soapground on somerset satin roll	Textiles + fiber	Other woven textiles	Satin	false
and soapstone	Other	""	""	false
and soft ground etching	Prints	Etching	""	false
and soft ground etching on (don farnsworth handmade) chine colle mounted on arches 88 paper	Prints	Etching	""	false
and soft ground etching on arches crème paper	Prints	Etching	""	false
and soft ground etching on chine collé	Prints	Etching	""	false
and soft ground etching on somerset paper	Prints	Etching	""	false
"and soft ground etching on somerset satin paper glued on 100% rag mat board with 3 windows cut for ""joy of ornament"" prints."	Prints	Etching	""	false
and soft ground etching printed in black and silver on (don farnsworth handmade) chine colle mounted on arches 88 paper	Prints	Etching	""	false
and soft ground etching printed in black and tan	Prints	Etching	""	false
and soft ground etching printed on three sheets of somerset textured white paper	Prints	Etching	""	false
and soft ground etching with additions in red felt-tip pen	Prints	Etching	""	false
and soft ground etching with blacklight sensitive areas	Prints	Etching	""	false
and soft ground etching with chine collé	Prints	Etching	""	false
and soft ground etching with collage	Prints	Etching	""	false
and soft ground etching with color à la poupée	Prints	Etching	""	false
and soft ground etching with glitter	Prints	Etching	""	false
and soft ground offset	Prints	Etching	Soft-ground etching	false
and soft ground offset printed in black and light red	Prints	Offset lithograph	""	false
and soft ground offset printed in black and light yellow	""	""	""	true
and soft ground offset printed in brown and tan	Prints	Offset lithograph	""	false
and soft-ground etching	Prints	Etching	""	false
and soft-ground offset	Other	""	""	false
and some false biting	Other	""	""	false
and soutache	Other	""	""	false
and spandex blend ribbed knit	Other	""	""	false
and spangles	Other	""	""	false
and spatter	Other	""	""	false
and spatter lithograph	Prints	Lithograph	""	false
and spit bite and soap ground aquatints. shaped color gampi paper and inkjet-printed gampi on an orange gampi chine collé	Prints	Aquatint	""	false
and spit bite and sugar lift aquatint with soft ground and hard ground etching	Prints	Aquatint	""	false
and spit bite aquatint	Prints	Aquatint	""	false
and spit bite aquatint on chine collé	Prints	Aquatint	""	false
and spit bite aquatint on somerset satin paper	Prints	Aquatint	""	false
and spit bite aquatint printed in brown ink on rives bfk paper	Ink + drawing	Ink	""	false
and spit bite aquatint with chine collé of wood veneer and drawing by the artist in yellow ink and graphite	Prints	Aquatint	""	false
and spit bite aquatint with scraping and burnishing on somerset textured paper	Prints	Aquatint	""	false
and spit-bite aquatint	Prints	Aquatint	""	false
and spit-bite aquatint on chine collé	Prints	Aquatint	""	false
and spit-bite aquatint with gold leaf in twelve colors	Prints	Aquatint	""	false
and spitbite aquatint on chine collé	Prints	Aquatint	""	false
and spite bite aquatint	Prints	Aquatint	""	false
and splash zone compound	Other	""	""	false
and splash zone compound on canvas on wood	Organic	Wood + plant	Wood	false
and splash zone compound on wood	Organic	Wood + plant	Wood	false
and splattered transparent and opaque watercolor on paper	Paint + pigment	Watercolour + wash	Watercolor	false
and spray paint on canvas on wood	Paint + pigment	Paint	""	false
and spun cotton yarn	Textiles + fiber	Cotton	""	false
and stacked leather heel with plastic cap	Organic	Leather + hide	Leather	false
and stacking cards with text	Other	""	""	false
and stamping	Other	""	""	false
and steel	Metal	Steel	""	false
and steel beads	Metal	Steel	""	false
and steel ornamented buttons	Metal	Steel	""	false
and steel pins	Metal	Steel	""	false
and stencil on white tgl handmade paper	Paper + parchment	Paper	Handmade paper	false
and stencil on wove paper	Paper + parchment	Paper	Wove paper	false
and stenciled glue or sizing	Other	""	""	false
and stenciled transparent and opaque watercolor on paper	Paint + pigment	Watercolour + wash	Watercolor	false
and stipple	Prints	Engraving	Stipple	false
and stipple engraving	Prints	Engraving	""	false
and stipple with hand coloring	Prints	Engraving	Stipple	false
and stone	Stone	""	""	false
and stone - obsidian	Stone	""	""	false
and stone?	Stone	""	""	false
and stones	Other	""	""	false
and stop out	Other	""	""	false
and straight stitch)	Other	""	""	false
and string	Textiles + fiber	Yarn + thread	String	false
and suede	Organic	Leather + hide	Suede	false
and sugar lift aquatint	Prints	Aquatint	""	false
and sugar lift aquatints	Prints	Aquatint	""	false
and sugar-lift aquatint	Prints	Aquatint	""	false
and sugar-lift aquatint with burnishing on richard debas paper	Prints	Aquatint	""	false
and sugarl ift aquatint	Prints	Aquatint	""	false
and sugarlift aquatint on arches satine heavyweight paper	Prints	Aquatint	""	false
and sugarlift aquatint with scraping ron somerset paper	Paper + parchment	Paper	""	false
and supplementary weft-faced compound twill	Textiles + fiber	Weaving	Supplementary-weft patterning	false
and support media including broken glass window	Glass	""	""	false
and swarovski crystals	Glass	""	Crystal	false
and synthetic and cotton blend chenille	Textiles + fiber	Trimmings	Chenille	false
and synthetic and metal strip damask	Metal	""	""	false
and synthetic and metal-wrapped thread ties and tassels skirt: silk chiffon with synthetic metal strip supplementary weft	Textiles + fiber	Silk	Silk chiffon	false
and synthetic fibers	Inorganic	Synthetic	""	false
and synthetic knit	Inorganic	Synthetic	""	false
and synthetic metal and synthetic embroidery (chain stitches)	Textiles + fiber	Embroidery	""	false
and synthetic metal foil embroidery	Textiles + fiber	Embroidery	""	false
and synthetic metal plain weave	Metal	""	""	false
and synthetic metal-wrapped synthetic thread and synthetic plain weave with synthetic metal strip plain weave dress: synthetic gauze weave	Textiles + fiber	Yarn + thread	Thread	false
and synthetic pearls	Inorganic	Synthetic	""	false
and synthetic plain weave	Inorganic	Synthetic	""	false
and synthetic raffia	Textiles + fiber	Fiber	Raffia	false
and synthetic taffeta	Textiles + fiber	Other woven textiles	Taffeta	false
and synthetic tassels with painted plastic beads	Paint + pigment	Paint	Painted	false
and synthetic twill weave appliqué with couched metal-wrapped silk and silk embroidery (satin stitch) slip: synthetic plain weave	Textiles + fiber	Embroidery	""	false
and synthetic velvet ribbon straps	Textiles + fiber	Other woven textiles	Velvet	false
and taffeta	Textiles + fiber	Other woven textiles	Taffeta	false
and takula powder	Other	""	""	false
and tambour stitches)	Other	""	""	false
and tape on paper	Paper + parchment	Paper	""	false
and tarlatan chine collé	Prints	Other technique	Chine collé	false
and tassels	Textiles + fiber	Trimmings	Tassel	false
and ten digital prints	Other	""	""	false
and tent stitches)	Other	""	""	false
and textile	Other	""	""	false
and theodore roetheke with twenty-one etchings by pierre alechinsky	Prints	Etching	""	false
and thin silver wash on stained tan parchmented paper	Paint + pigment	Watercolour + wash	Wash	false
and thread	Textiles + fiber	Yarn + thread	Thread	false
and three texts: el plan de delano (1966)	Other	""	""	false
and tin leaf	Other	""	""	false
and title with vignette	Other	""	""	false
and tooled	Other	""	""	false
